Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range)
numériser vhs sur pc,EUR,50,0%,0%,High,100,0.00128118,0.010061011
transferer k7 video sur dvd,EUR,50,0%,0%,High,100,0.003443864,0.008336471
copie de cassette vhs sur dvd,EUR,50,0%,0%,High,100,0.00392341,0.015489888
convertir les cassettes vhs en numérique,EUR,500,0%,0%,High,100,0.003536448,0.011137789
restauration cassette vhs,EUR,50,0%,0%,Medium,45,0.003697492,0.008942179
montage de photos avec musique,EUR,50,0%,0%,High,83,0.001778004,0.010582937
numeriser cassette dv,EUR,50,0%,0%,High,100,0.001866024,0.011138441
montage vidéo souvenir gratuit,EUR,50,0%,0%,Medium,46,0.001608484,0.008466219
transfert cassette sur cd,EUR,50,0%,0%,High,100,0.006712665,0.012623697
enregistrer vhs sur clé usb,EUR,50,0%,0%,High,100,0.004262776,0.010546425
transfert vhs numérique,EUR,500,900%,0%,High,100,0.003942644,0.012419295
grille tarifaire montage vidéo,EUR,50,0%,0%,Low,8,0,0
numérisation hi8 fnac,EUR,50,0%,0%,High,67,0,0
cassette hi8 en numérique,EUR,50,0%,0%,High,100,0.002562686,0.008977387
digitalisation cassettes vhs,EUR,50,0%,0%,High,100,0.003377686,0.009326207
convertir video hi8 en numerique,EUR,50,0%,0%,High,100,0.003634574,0.014126882
transférer cassette vhs sur dvd,EUR,500,0%,0%,High,100,0.003837672,0.01436095
numérisation de cassettes vidéo,EUR,50,0%,0%,High,100,0.004397088,0.013178875
transfert k7 sur dvd,EUR,50,0%,0%,High,100,0,0
cassette 8mm numeriser,EUR,50,0%,0%,High,100,0.003386488,0.009848459
montage photo iphone avec musique gratuit,EUR,50,0%,0%,Medium,64,0.001174252,0.008927835
numérisation vhs leclerc,EUR,50,0%,0%,Medium,45,0.00328119,0.010085787
numériser cassette vhs sur pc,EUR,50,0%,0%,High,75,0,0
prix monteur vidéo youtube,EUR,50,0%,0%,Low,19,0,0
convertir film vhs en numerique,EUR,50,0%,0%,High,86,0,0
transfert cassette,EUR,50,0%,0%,High,100,0.005338901,0.010808203
mettre cassette sur cle usb,EUR,50,0%,0%,High,100,0.003943296,0.011721655
transfert cassettes video sur disque dur,EUR,50,0%,0%,High,100,0.00330727,0.011897043
numérisation k7,EUR,50,0%,0%,High,100,0.006481857,0.011433471
transfert cassette video 8 sur dvd,EUR,50,0%,0%,High,67,0.005513963,0.012888735
transformer film vhs en numerique,EUR,50,0%,0%,High,100,0.005247947,0.014042774
numeriser cassette mini dv,EUR,50,0%,0%,High,100,0.004163998,0.011004781
convertir une cassette en dvd,EUR,50,0%,0%,High,95,0.00335128,0.009346093
transfert video hi8 vers pc,EUR,50,0%,0%,High,100,0.003968072,0.011138441
convertir cassette dv en numérique,EUR,50,0%,0%,High,100,0.004373616,0.009172987
numeriser des cassettes video 8,EUR,50,0%,0%,High,96,0.002784692,0.011275687
montage photo et vidéo avec musique,EUR,500,-90%,-90%,Medium,64,0.003047774,0.010201843
convertir cassette vhs en usb,EUR,50,0%,0%,High,100,0.004883479,0.008420579
numériser mini dv sur pc,EUR,50,0%,0%,High,95,0.005581119,0.011706659
numerisation de vhs,EUR,50,0%,0%,High,100,0.003689342,0.010489049
transformer cassettes vhs en numérique,EUR,50,0%,0%,High,100,0.00338225,0.012201527
transfert mini cassette sur dvd,EUR,50,0%,0%,High,100,0.004615181,0.014746934
transfert cassette 8mm sur dvd,EUR,50,0%,0%,High,86,0.00358926,0.010141533
numeriser vhs c,EUR,50,0%,0%,High,100,0.00315568,0.010574787
transfert video 8mm vers pc,EUR,50,0%,0%,High,100,0.00432113,0.010755065
prix transfert vhs sur dvd,EUR,50,0%,0%,Medium,57,0,0
transfert super 8 en dvd,EUR,50,0%,0%,High,90,0.00418584,0.011897043
mettre cassette video sur dvd,EUR,50,0%,0%,High,96,0.003055598,0.008922619
numeriser cassette camescope sur pc,EUR,50,0%,0%,High,100,0,0
numérisation de vhs,EUR,50,0%,0%,High,100,0.004858051,0.013936824
numériser des cassettes mini dv,EUR,50,0%,0%,High,100,0.003645332,0.008970867
transfert vhs cle usb,EUR,50,0%,0%,High,100,0.001610766,0.007980805
numérisation cassette audio fnac,EUR,50,0%,0%,High,84,0.005139389,0.014948402
prix numérisation vhs,EUR,50,0%,0%,High,79,0.003184042,0.008191727
transformer cassette camescope en dvd,EUR,50,0%,0%,High,94,0.003450058,0.015870656
convertir cassette super 8 en dvd,EUR,50,0%,0%,High,100,0.005677289,0.012649125
numérisation vhs c,EUR,50,0%,0%,High,100,0.005239145,0.019490886
transfert cassette camescope sur dvd,EUR,50,0%,0%,High,96,0.003477768,0.007536141
numériser des cassettes vidéo,EUR,500,0%,0%,High,100,0.003990566,0.010834283
transformer cassette video en cd,EUR,50,0%,0%,High,96,0.002682328,0.010933713
transferer des cassettes video sur dvd,EUR,50,0%,0%,High,96,0.00392993,0.009001185
transformer cassette vidéo en dvd,EUR,50,0%,0%,High,98,0.004821865,0.013010659
prix montage vidéo freelance,EUR,50,0%,0%,Low,2,0,0
cassette video sur usb,EUR,50,0%,0%,High,100,0.007423345,0.019622264
transformation vhs en numerique,EUR,50,0%,0%,High,100,0.004593339,0.014847016
cassette video vers usb,EUR,50,0%,0%,High,67,0,0
diaporama photos avec musique,EUR,500,0%,0%,Medium,63,0.00296334,0.012374959
transfert video super 8,EUR,50,0%,0%,High,94,0.004228546,0.007534837
copie de vhs sur dvd,EUR,50,0%,0%,High,100,0,0
transformer cassette en usb,EUR,50,0%,0%,High,100,0,0
montage photo en musique gratuit,EUR,500,0%,0%,Medium,62,0.00199349,0.009312841
montage photo avec musique youtube,EUR,50,0%,0%,Low,27,0.001686398,0.006772975
transfert cassette vhs sur ordinateur,EUR,50,0%,0%,High,100,0,0
montage vidéo et photo avec musique,EUR,500,-90%,-90%,Medium,64,0.003047774,0.010201843
numeriser cassette hi8,EUR,50,0%,0%,High,100,0.003252502,0.008577059
faire une video pour un mariage,EUR,50,0%,0%,Low,25,0,0
diaporama video anniversaire,EUR,50,0%,0%,High,71,0.004063916,0.009861499
numérisation vhs prix,EUR,50,0%,0%,High,79,0.003184042,0.008191727
transfert vhs vers cd,EUR,50,0%,0%,High,100,0.003715748,0.009784889
numériser cassettes vhs sur ordinateur,EUR,50,0%,0%,High,100,0.00094377,0.010854821
copier cassette vhs sur ordinateur,EUR,50,0%,0%,High,100,0,0
transferer cassette video 8mm sur pc,EUR,50,0%,0%,High,100,0.005463433,0.010748219
transformer une vhs en numerique,EUR,50,0%,0%,High,100,0.002890316,0.008870785
transfert mini dv sur dvd,EUR,50,0%,0%,High,100,0.003974266,0.011415541
cassette super 8 sur dvd,EUR,50,0%,0%,Medium,57,0,0
transferer cassette vhs sur usb,EUR,50,0%,-90%,High,100,0.004875981,0.0204653
numériser cassette video hi8,EUR,50,0%,0%,High,100,0.00400817,0.010142837
numériser ses cassettes vhs,EUR,50,0%,0%,High,100,0.004575083,0.008944787
cassette video en dvd,EUR,50,0%,0%,Medium,38,0.003389422,0.011820759
convertir cassette video en usb,EUR,50,0%,0%,High,97,0.004063916,0.009191569
numériser vhs soi même,EUR,50,0%,0%,High,100,0,0
leclerc numérisation vhs,EUR,50,0%,0%,Low,28,0.004077282,0.008784069
anniversaire diaporama,EUR,500,0%,0%,Medium,35,0.004569215,0.012181641
appareil numeriser vhs,EUR,50,0%,0%,High,100,0,0
appareil pour numeriser cassette 8mm,EUR,50,0%,0%,High,100,0,0
appareil pour numeriser cassette video,EUR,50,0%,0%,High,100,0,0
appareil pour numeriser les cassettes vhs,EUR,500,0%,0%,High,99,0.000591364,0.005254467
appareil pour numériser des cassettes vhs,EUR,50,0%,0%,High,100,0.001341816,0.007980805
appareil pour numériser vhs,EUR,50,0%,0%,High,100,0.001185336,0.00335617
carrefour numerisation cassette,EUR,50,0%,0%,Low,19,0.004776877,0.011439665
carrefour numérisation vhs,EUR,50,0%,0%,Unknown,,0,0
cassette 8mm sur disque dur,EUR,50,?,?,High,100,0,0
cassette film super 8,EUR,50,0%,0%,Low,1,0,0
cassette hi8 vers pc,EUR,50,0%,0%,High,100,0.001026248,0.009678939
cassette s vhs c,EUR,50,0%,0%,High,100,0,0
cassette vhs 8mm,EUR,50,0%,0%,Medium,63,0,0
cassette vhs c sur dvd,EUR,50,0%,0%,Unknown,,0,0
cassette vhs hi8,EUR,50,0%,0%,High,100,0,0
cassette vhs mini dv,EUR,50,0%,0%,High,83,0,0
cassette vhs numériser,EUR,500,0%,-90%,High,100,0.003438648,0.010583263
cassette vhs pour mini dv,EUR,50,0%,0%,High,100,0,0
cassette vhs sur disque dur,EUR,50,0%,0%,High,90,0.00377997,0.010750175
cassette vhs transformer en dvd,EUR,50,0%,?,High,100,0.003679236,0.006068815
cassette video en numerique,EUR,50,0%,0%,High,100,0.003189258,0.009435743
cassette video en usb,EUR,50,0%,0%,High,99,0.00367565,0.008911861
cassette video hi8,EUR,50,0%,0%,High,98,0,0
cassette video super 8,EUR,50,0%,0%,Low,18,0,0
cassette video transfert sur dvd,EUR,50,0%,0%,High,96,0.00392993,0.009001185
cassette vidéo 8,EUR,50,0%,0%,High,93,0,0
cassettes vhs c,EUR,500,0%,0%,High,100,0.001098294,0.005686417
cassettes video 8,EUR,500,0%,0%,High,70,0.001278898,0.010825807
cle de numerisation video usb,EUR,50,0%,0%,High,100,0.002540518,0.006839479
combien coute un monteur video,EUR,50,0%,0%,Medium,47,0.002539866,0.011982781
conversion cassette camescope dvd,EUR,50,0%,0%,High,100,0.005260987,0.010788317
conversion cassette vhs,EUR,50,0%,0%,High,100,0.001010926,0.007574283
conversion cassettes vhs en dvd,EUR,50,-90%,-90%,High,100,0.00374248,0.009445523
conversion hi8 numérique,EUR,50,0%,0%,High,97,0.003790402,0.008477303
convertir cassette camescope en dvd,EUR,50,0%,0%,High,100,0.005260987,0.010788317
convertir cassette camescope sur pc,EUR,50,0%,0%,High,100,0.004156826,0.013017505
convertir cassette caméscope en usb,EUR,50,0%,0%,Unknown,,0,0
convertir cassette en cle usb,EUR,50,0%,0%,High,100,0.001684116,0.008976083
convertir cassette en dvd prix,EUR,50,0%,0%,Low,29,0,0
convertir cassette vhs sur dvd,EUR,50,-90%,-90%,High,100,0.00374248,0.009445523
convertir cassette video,EUR,50,-100%,-100%,Unknown,,0,0
convertir cassette video sur clé usb,EUR,50,0%,0%,Medium,43,0,0
convertir cassettes en dvd,EUR,50,0%,0%,Medium,57,0,0
convertir des cassettes en dvd,EUR,50,0%,0%,High,95,0.00335128,0.009346093
convertir des films super 8 en dvd,EUR,50,0%,0%,High,100,0.00413531,0.011827931
convertir film hi8 en numérique,EUR,50,0%,0%,High,100,0.00389081,0.010607713
convertir une cassette de camescope en dvd,EUR,50,-100%,0%,Unknown,,0,0
convertir une cassette video en cd,EUR,50,?,0%,High,100,0,0
convertir une cassette video en dvd,EUR,50,?,0%,High,100,0,0
convertir vhs en numérique fnac,EUR,50,0%,0%,Low,31,0,0
convertir vhs sur cle usb,EUR,50,0%,0%,High,100,0.004464896,0.010435585
copie cassette 8mm sur dvd,EUR,50,0%,0%,High,86,0,0
copie cassette camescope sur dvd,EUR,50,0%,0%,High,100,0.003953076,0.008256275
copie cassette sur dvd,EUR,50,0%,0%,High,84,0.004263102,0.008875349
copie cassette vhs,EUR,50,0%,0%,High,100,0.00428038,0.008964347
copie de cassette camescope sur dvd,EUR,50,?,?,High,100,0,0
copie de cassettes video sur dvd,EUR,50,0%,0%,High,90,0.004270926,0.013454345
copie vhs,EUR,50,0%,0%,High,100,0.004470438,0.008858071
copier cassette 8mm sur dvd,EUR,50,0%,0%,High,86,0,0
copier cassette camescope sur dvd,EUR,50,0%,0%,High,100,0.003953076,0.008256275
copier cassette hi8 sur dvd,EUR,50,0%,0%,High,100,0,0
copier cassette mini dv sur pc,EUR,50,0%,0%,High,85,0.00155665,0.008544785
copier cassette sur cd,EUR,50,-100%,-100%,Unknown,,0,0
copier cassette vhs,EUR,50,0%,0%,High,100,0,0
copier cassette vhs sur cd,EUR,50,0%,0%,High,100,0.002593982,0.006012417
copier cassette vhs sur disque dur,EUR,50,0%,0%,High,100,0,0
copier cassette video 8 sur pc,EUR,50,0%,0%,High,100,0.000997234,0.007603297
copier cassette video sur cd,EUR,50,0%,-100%,Unknown,,0,0
copier hi8 sur pc,EUR,50,0%,0%,Unknown,,0,0
copier k7 vhs sur dvd,EUR,50,-100%,0%,Unknown,,0,0
copier vhs sur disque dur,EUR,50,0%,0%,High,100,0.002478578,0.007287729
creation d une vidéo avec photos musique,EUR,50,0%,0%,High,80,0.003388444,0.011006085
creation video avec photo et musique,EUR,50,-100%,0%,Unknown,,0,0
creation video mariage,EUR,50,0%,0%,High,86,0,0
creer un diaporama anniversaire,EUR,50,0%,0%,Medium,59,0.003725202,0.010159463
création diaporama anniversaire,EUR,50,0%,0%,High,71,0.001827556,0.009312841
diapo anniversaire original,EUR,50,0%,0%,Low,12,0,0
diapo d anniversaire,EUR,50,0%,0%,Low,27,0.002941172,0.008466219
diaporama anniversaire de mariage,EUR,50,-100%,-100%,Unknown,,0,0
diaporama anniversaire en ligne,EUR,50,-100%,-100%,Unknown,,0,0
diaporama anniversaire humoristique,EUR,50,0%,0%,Low,4,0,0
diaporama anniversaire mariage,EUR,50,0%,0%,Unknown,,0,0
diaporama gratuit anniversaire,EUR,500,-90%,0%,Medium,38,0.003471248,0.011513993
diaporama gratuit pour anniversaire,EUR,500,-90%,0%,Medium,38,0.003471248,0.011513993
diaporama humour anniversaire,EUR,50,0%,0%,Low,0,0,0
diaporama joyeux anniversaire,EUR,50,0%,0%,Medium,43,0,0
diaporama joyeux anniversaire gratuit,EUR,50,0%,-100%,Unknown,,0,0
diaporama original anniversaire,EUR,50,0%,0%,Low,12,0,0
diaporama photo et video avec musique,EUR,50,0%,?,Medium,57,0,0
diaporama photo et video avec musique gratuit,EUR,50,0%,0%,High,78,0.002429026,0.011090845
diaporama photo pour anniversaire,EUR,500,-90%,0%,Medium,45,0.004825777,0.012819297
diaporama photo video musique gratuit,EUR,50,0%,0%,Medium,59,0.003471248,0.008804933
diaporama photos anniversaire,EUR,500,-90%,0%,Medium,45,0.004825777,0.012819297
diaporama pour un anniversaire,EUR,500,0%,0%,Medium,35,0.004569215,0.012181641
diaporama surprise anniversaire,EUR,50,?,0%,Low,0,0,0
diaporama video photo musique,EUR,50,-100%,0%,Unknown,,0,0
enregistrer cassette hi8 sur pc,EUR,50,0%,0%,High,100,0,0
enregistrer cassette sur cle usb,EUR,50,0%,0%,High,100,0.004179972,0.010858081
enregistrer cassette vhs sur cle usb,EUR,50,0%,0%,High,100,0.004677121,0.012052871
enregistrer cassette video sur cle usb,EUR,50,0%,0%,High,100,0.003676302,0.007679907
faire diaporama anniversaire,EUR,50,0%,0%,Medium,60,0.004994971,0.010159463
faire numériser des cassettes vhs,EUR,50,0%,0%,High,95,0,0
faire un diapo anniversaire,EUR,50,0%,0%,High,70,0.00431787,0.010752131
faire un diapo photo anniversaire,EUR,50,0%,0%,Low,29,0,0
faire un diaporama d anniversaire,EUR,50,0%,0%,Medium,61,0,0
faire un diaporama photo pour anniversaire,EUR,50,0%,0%,Medium,64,0,0
faire un diaporama pour anniversaire,EUR,50,0%,0%,Medium,55,0.003301728,0.01379534
faire un diaporama pour un anniversaire,EUR,50,0%,0%,Medium,60,0.003582088,0.011006085
faire une video mariage,EUR,50,-100%,0%,Unknown,,0,0
faire une video surprise pour un mariage,EUR,50,0%,-100%,Unknown,,0,0
faire une vidéo pour les mariés,EUR,50,0%,0%,Low,32,0,0
faire une vidéo pour un mariage,EUR,50,0%,0%,Low,25,0,0
faire video mariage,EUR,50,0%,0%,Low,25,0,0
faire video pour mariage,EUR,50,0%,0%,Low,25,0,0
film avec photos et musique,EUR,50,0%,0%,Medium,33,0,0
fnac convertir cassette vhs en dvd,EUR,50,0%,0%,Low,7,0,0
fnac numerisation vhs,EUR,50,900%,0%,Medium,34,0.004550959,0.015079128
fnac numérisation cassette vidéo,EUR,50,0%,0%,Low,16,0.004473046,0.016301302
fnac transfert vhs,EUR,50,0%,0%,Medium,43,0.002458366,0.009658727
hi8 numeriser,EUR,50,0%,0%,High,100,0.003090806,0.006682673
hi8 sur clé usb,EUR,50,0%,0%,Unknown,,0,0
hi8 vers numerique,EUR,50,0%,-100%,Unknown,,0,0
hi8 vers vhs,EUR,50,0%,0%,Medium,38,0,0
idee de diaporama anniversaire,EUR,50,0%,0%,Low,11,0,0
idee diapo anniversaire,EUR,500,-90%,-90%,Low,11,0.001308238,0.015293962
idee presentation photo pour anniversaire,EUR,50,0%,0%,High,100,0,0
idée diapo photo anniversaire,EUR,50,-100%,-100%,Unknown,,0,0
mariage montage video,EUR,500,-90%,-90%,Medium,50,0.005211761,0.014223378
materiel pour numeriser cassette vhs,EUR,50,0%,-100%,Unknown,,0,0
mettre cassette vhs sur dvd,EUR,50,0%,0%,High,96,0.00368543,0.008969563
mettre des cassettes vhs sur dvd,EUR,50,0%,0%,High,97,0.002292106,0.011862161
mettre vhs en numerique,EUR,50,0%,0%,High,100,0.002791212,0.009048455
mini dv numeriser,EUR,50,0%,0%,High,100,0.003089502,0.010057425
montage de photo avec musique,EUR,50,0%,0%,High,83,0.001778004,0.010582937
montage de photo avec musique gratuit,EUR,50,0%,0%,Unknown,,0,0
montage des photos avec musique,EUR,500,0%,0%,Medium,66,0.001927312,0.010159463
montage diaporama anniversaire,EUR,50,-100%,-100%,Unknown,,0,0
montage diaporama photo musique gratuit,EUR,50,0%,0%,High,79,0,0
montage film mariage,EUR,50,0%,0%,Medium,48,0.009129303,0.018710442
montage mariage video,EUR,500,-90%,-90%,Medium,50,0.005211761,0.014223378
montage musique et photo gratuit,EUR,500,0%,0%,Medium,62,0.00199349,0.009312841
montage musique photo gratuit,EUR,500,0%,0%,Medium,62,0.00199349,0.009312841
montage photo animé avec musique,EUR,50,0%,0%,Medium,57,0,0
montage photo audio,EUR,50,0%,0%,Medium,61,0.003450058,0.010965661
montage photo audio en ligne,EUR,50,0%,0%,Low,0,0,0
montage photo audio gratuit,EUR,50,0%,0%,High,86,0,0
montage photo avec musique iphone,EUR,50,0%,0%,Low,29,0,0
montage photo en diaporama avec musique gratuit,EUR,50,0%,0%,Unknown,,0,0
montage photo en video avec musique gratuit en ligne,EUR,50,0%,0%,Medium,60,0.002539866,0.008466219
montage photo en vidéo avec musique,EUR,500,-90%,-90%,Medium,64,0.003047774,0.010201843
montage photo et audio,EUR,50,0%,0%,High,86,0,0
montage photo gratuit avec musique de fond,EUR,50,0%,0%,Medium,57,0,0
montage photo gratuit musique,EUR,50,0%,0%,High,100,0,0
montage photo plus musique,EUR,50,0%,0%,Medium,57,0.001883628,0.006772975
montage photo sur musique,EUR,500,0%,0%,Medium,52,0.001947198,0.009312841
montage photo video en musique gratuit,EUR,50,0%,0%,Unknown,,0,0
montage photo video mariage,EUR,50,0%,0%,High,100,0,0
montage photo video musique gratuit,EUR,500,0%,0%,Medium,53,0.001778004,0.009361741
montage photo video pour mariage,EUR,50,0%,0%,High,100,0,0
montage video anniversaire de mariage,EUR,50,-100%,-100%,Unknown,,0,0
montage video avec musique et photo,EUR,500,-90%,-90%,Medium,64,0.003047774,0.010201843
montage video avec photo et musique,EUR,500,-90%,-90%,Medium,64,0.003047774,0.010201843
montage video avec photo musique et texte,EUR,50,-100%,-100%,Unknown,,0,0
montage video boulette mariage,EUR,50,0%,0%,Low,0,0,0
montage video de mariage,EUR,50,0%,0%,Medium,43,0,0
montage video de photo avec musique,EUR,50,0%,0%,High,100,0,0
montage video mariage temoin,EUR,50,-100%,0%,Unknown,,0,0
montage video photo avec musique,EUR,50,?,0%,Medium,33,0,0
montage video photo avec musique gratuit,EUR,50,0%,0%,Medium,43,0,0
montage video photo mariage,EUR,50,0%,0%,High,100,0,0
montage video pour un mariage,EUR,500,-90%,-90%,Medium,50,0.005211761,0.014223378
montage video surprise mariage,EUR,50,?,0%,Low,0,0,0
montage video surprise pour mariage,EUR,50,?,?,Low,0,0,0
montage video temoin mariage,EUR,50,0%,0%,High,93,0,0
montage vidéo avec photo et musique apk,EUR,50,0%,0%,Unknown,,0,0
montage vidéo avec photo et musique gratuit,EUR,50,0%,0%,Medium,65,0.001524702,0.009820749
montage vidéo avec photo et musique gratuit en ligne,EUR,50,0%,0%,High,77,0.004825777,0.009651555
montage vidéo mariage original,EUR,50,0%,0%,Low,29,0.005223823,0.010061011
montage vidéo tarif,EUR,50,0%,0%,Low,29,0.005444851,0.013827614
monteur video tarif,EUR,50,0%,0%,Medium,57,0,0
monteur video youtube prix,EUR,50,0%,0%,Medium,36,0,0
monteur vidéo youtube prix,EUR,50,0%,0%,Medium,36,0,0
numerisation cassette fnac,EUR,50,0%,0%,Low,22,0.004126508,0.01788338
numerisation cassette leclerc,EUR,50,0%,0%,Medium,38,0.00444175,0.023462869
numerisation cassette video fnac,EUR,50,0%,0%,Low,16,0.004473046,0.016301302
numerisation de cassette video vhs,EUR,50,0%,0%,High,100,0,0
numerisation dvd,EUR,50,0%,0%,Low,27,0.005480059,0.012257599
numerisation film vhs,EUR,50,0%,0%,High,86,0,0
numerisation mini dv fnac,EUR,50,-100%,-100%,Unknown,,0,0
numerisation vhs dvd,EUR,50,-100%,-100%,Unknown,,0,0
numerisation vhs fnac,EUR,50,900%,0%,Medium,34,0.004550959,0.015079128
numerisation vhs sur dvd,EUR,50,0%,0%,Medium,39,0,0
numerisation video 8mm,EUR,50,0%,0%,High,100,0.005170359,0.012136327
numerisation video analogique,EUR,50,?,0%,High,100,0,0
numerisation video vhs,EUR,50,0%,0%,High,79,0.002890316,0.011828257
numeriser camescope,EUR,50,0%,0%,High,100,0.001793,0.010638683
numeriser cassette 8mm,EUR,50,0%,0%,High,100,0.004831971,0.024344047
numeriser cassette camescope mini dv,EUR,50,0%,0%,High,100,0.003347042,0.010057425
numeriser cassette magnetoscope,EUR,50,0%,0%,High,100,0,0
numeriser cassette vhs en dvd,EUR,50,?,0%,High,100,0,0
numeriser cassette vhs secam,EUR,50,0%,?,High,100,0.000688838,0.005867021
numeriser cassette video 8mm,EUR,50,0%,0%,High,100,0.005480059,0.012424837
numeriser du vhs,EUR,50,0%,0%,High,100,0,0
numeriser film vhs,EUR,50,0%,0%,High,100,0,0
numeriser hi8 mac,EUR,50,0%,0%,Unknown,,0,0
numeriser hi8 sur pc,EUR,50,0%,0%,High,96,0.00126814,0.008922619
numeriser k7,EUR,50,0%,0%,High,100,0.004335474,0.009542345
numeriser k7 camescope,EUR,50,?,?,Low,0,0,0
numeriser k7 vhs,EUR,50,0%,0%,High,100,0,0
numeriser les vhs,EUR,50,0%,0%,High,100,0.001452004,0.008575103
numeriser mini cassette video,EUR,50,0%,0%,High,100,0.003578176,0.011173323
numeriser mini dv mac,EUR,50,0%,0%,High,86,0,0
numeriser une cassette,EUR,50,0%,0%,High,96,0.00359252,0.012188813
numeriser une cassette video,EUR,500,0%,0%,High,100,0.003990566,0.010834283
numeriser vhs fnac,EUR,50,0%,0%,Low,20,0,0
numeriser vhs mac,EUR,50,0%,0%,High,97,0,0
numeriser vhs soi meme,EUR,50,0%,0%,High,100,0,0
numeriser vhs sur mac,EUR,50,0%,0%,High,100,0,0
numeriser video,EUR,50,0%,0%,Medium,55,0.005716735,0.013988006
numeriser video cassette,EUR,50,0%,0%,High,100,0,0
numeriser video hi8,EUR,50,0%,0%,High,100,0.003548184,0.011232003
numeriser video mini dv,EUR,50,0%,0%,High,100,0.004263102,0.008724411
numeriser video vhs,EUR,50,0%,0%,High,100,0.002591048,0.006782429
numérisation camescope,EUR,50,0%,0%,High,100,0,0
numérisation cassette vhs c,EUR,50,0%,0%,High,100,0.004826429,0.016041154
numérisation cassette vhs carrefour,EUR,50,0%,0%,High,90,0,0
numérisation cassette vhs fnac,EUR,50,0%,0%,Medium,50,0.007382595,0.018841168
numérisation de cassettes vidéo sur dvd,EUR,50,0%,0%,High,100,0,0
numérisation dvd,EUR,50,0%,0%,Low,27,0.005480059,0.012257599
numérisation k7 video,EUR,50,0%,0%,High,98,0.003790402,0.014741066
numérisation vhs carrefour,EUR,50,0%,0%,Medium,63,0,0
numérisation vhs fnac,EUR,50,900%,0%,Medium,34,0.004550959,0.015079128
numérisation vhs sur clé usb,EUR,50,?,0%,High,100,0,0
numérisation vhs sur dvd,EUR,50,0%,0%,Medium,39,0,0
numérisation video,EUR,50,0%,0%,High,100,0.010522627,0.014604798
numérisation vidéo,EUR,50,0%,0%,High,100,0.010522627,0.014604798
numériser cassette dv,EUR,50,0%,0%,High,100,0.004273534,0.010842759
numériser cassette vhs c sur clé usb,EUR,50,0%,0%,Unknown,,0,0
numériser cassette vhs fnac,EUR,50,0%,0%,Low,0,0,0
numériser cassette vhs sur dvd,EUR,50,0%,-100%,Unknown,,0,0
numériser cassette vhs sur mac,EUR,50,0%,?,High,100,0,0
numériser des cassettes camescope,EUR,500,0%,0%,High,100,0.003673042,0.012227607
numériser des cassettes hi8,EUR,500,900%,0%,High,100,0.003569048,0.012049937
numériser hi8 sur clé usb,EUR,50,0%,0%,High,93,0,0
numériser hi8 sur dvd,EUR,50,0%,0%,Unknown,,0,0
numériser ses cassettes hi8,EUR,50,-100%,-100%,Unknown,,0,0
numériser une cassette,EUR,500,0%,0%,High,100,0.005155037,0.014806918
numériser une cassette vidéo,EUR,500,0%,0%,High,100,0.003990566,0.010834283
numériser vhs boulanger,EUR,50,0%,0%,High,91,0,0
numériser vhs en numérique,EUR,50,-100%,-100%,Unknown,,0,0
numériser vhs mac,EUR,50,0%,0%,High,100,0,0
numériser vhs prix,EUR,50,0%,0%,High,96,0.003287058,0.009745443
numériser vhs sur clé usb,EUR,50,0%,0%,High,100,0,0
numériser vhs sur dvd,EUR,50,0%,0%,Medium,39,0,0
numériser vhs sur mac,EUR,50,0%,0%,High,100,0,0
numériser video 8,EUR,50,0%,0%,High,95,0.004677773,0.011985389
numériseur cassettes vhs,EUR,50,0%,0%,High,89,0,0
numériseur de cassettes vhs,EUR,50,0%,0%,High,100,0,0
photo et musique montage gratuit,EUR,50,0%,0%,Medium,40,0.001794304,0.009905509
photo montage avec musique gratuit,EUR,500,0%,0%,Medium,52,0.001731386,0.009542019
photo musique montage,EUR,500,0%,0%,Medium,52,0.001947198,0.009312841
presentation photo pour anniversaire,EUR,50,0%,0%,High,100,0,0
prix montage video freelance,EUR,50,0%,0%,Low,2,0,0
prix montage video mariage,EUR,50,0%,0%,Medium,57,0,0
prix montage video particulier,EUR,50,0%,?,Low,0,0,0
prix montage video youtube,EUR,50,0%,0%,Low,19,0.002862932,0.014114494
prix montage vidéo youtube,EUR,50,0%,0%,Low,19,0.002862932,0.014114494
prix monteur video youtube,EUR,50,0%,0%,Low,19,0,0
restaurer cassette vhs,EUR,50,0%,0%,Medium,45,0.003697492,0.008942179
restaurer une cassette vhs,EUR,50,0%,?,Medium,33,0,0
site diaporama anniversaire,EUR,50,0%,0%,Low,0,0,0
tarif horaire montage video,EUR,50,0%,0%,Low,4,0,0
tarif montage video freelance,EUR,50,0%,0%,Low,30,0.002465864,0.011632657
tarif montage video mariage,EUR,50,-100%,-100%,Unknown,,0,0
tarif montage video youtube,EUR,50,0%,0%,Low,24,0,0
tarif montage vidéo youtube,EUR,50,0%,0%,Low,21,0,0
tarif monteur video freelance,EUR,50,0%,0%,Medium,37,0.001965128,0.009179507
transferer cassette 8mm sur pc,EUR,50,0%,0%,High,100,0.004979323,0.010747893
transferer cassette camescope sur cd,EUR,50,0%,0%,High,90,0,0
transferer cassette hi8 sur pc,EUR,50,?,0%,High,100,0.004572801,0.009557667
